wind_speed,wdir,smois,fuels,ignition,safe_unsafe_ignition_pattern,safe_unsafe_fire_behavior,does_fire_meet_objectives,rationale_if_unsafe,burned_area,FILE
2,180,0.1,ST5_FFDUET_TLS,ST5_ignite_ring.dat,safe,safe,yes,,121308,https://wifire-data.sdsc.edu/data//burnpro3d/d/ae/d3/run_aed3d067-1a4e-484e-8c70-a27344db5ea5/png/run_aed3d067-1a4e-484e-8c70-a27344db5ea5_fuels-dens_2100_000.png
2,195,0.1,ST5_FF_DUET,ST5_ignite_ring.dat,safe,safe,yes,,146817,https://wifire-data.sdsc.edu/data//burnpro3d/d/12/7e/run_127e8928-b463-4946-95c2-4910518a206c/png/run_127e8928-b463-4946-95c2-4910518a206c_fuels-dens_2100_000.png
5,195,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,other,yes,,170960,https://wifire-data.sdsc.edu/data//burnpro3d/d/7d/4f/run_7d4f26c7-d6b1-4676-b93f-1e185eca1740/png/run_7d4f26c7-d6b1-4676-b93f-1e185eca1740_fuels-dens_2100_000.png
5,180,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,46606,https://wifire-data.sdsc.edu/data//burnpro3d/d/b0/49/run_b049f5d2-167c-4821-83d3-3d4a97c7d835/png/run_b049f5d2-167c-4821-83d3-3d4a97c7d835_fuels-dens_2100_000.png
2,195,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,115831,https://wifire-data.sdsc.edu/data//burnpro3d/d/03/b3/run_03b3541b-caa9-44b9-86ca-58d9ef94b375/png/run_03b3541b-caa9-44b9-86ca-58d9ef94b375_fuels-dens_2100_000.png
3,240,0.1,ST5_FF_DUET,ST5_ignite_contour.dat,safe,safe,yes,,119563,https://wifire-data.sdsc.edu/data//burnpro3d/d/b1/2b/run_b12b8213-1303-4249-8757-53df29665e8e/png/run_b12b8213-1303-4249-8757-53df29665e8e_fuels-dens_2100_000.png
2,180,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,142698,https://wifire-data.sdsc.edu/data//burnpro3d/d/ab/de/run_abde19d1-2cc1-47c0-875b-9e5dcd533f11/png/run_abde19d1-2cc1-47c0-875b-9e5dcd533f11_fuels-dens_2100_000.png
2,255,0.1,ST5_FFDUET_TLS,ST5_ignite_contour.dat,safe,safe,yes,,180688,https://wifire-data.sdsc.edu/data//burnpro3d/d/36/85/run_36853043-3dfa-4dd1-8d2c-500b1a3f3411/png/run_36853043-3dfa-4dd1-8d2c-500b1a3f3411_fuels-dens_2100_000.png
2,255,0.1,ST5_FFDUET_TLS,ST5_ignite_ring.dat,safe,safe,yes,,146376,https://wifire-data.sdsc.edu/data//burnpro3d/d/a3/eb/run_a3eb2338-707c-41ef-831b-4762d4448b68/png/run_a3eb2338-707c-41ef-831b-4762d4448b68_fuels-dens_2100_000.png
3,255,0.1,ST5_FF_DUET,ST5_ignite_strip.dat,safe,safe,yes,,186489,https://wifire-data.sdsc.edu/data//burnpro3d/d/c7/e6/run_c7e6002e-c635-4309-9826-ba29e426c0e8/png/run_c7e6002e-c635-4309-9826-ba29e426c0e8_fuels-dens_2100_000.png
